latitude,longitude
40.4691015,-3.6927669
40.4644518,-3.6839847
40.4635908,-3.6843611
40.4710207,-3.6870109
40.4681679,-3.6858083
40.4698438,-3.6857225
40.4707406,-3.6853977
40.4641891,-3.6869977
40.4708584,-3.6878994
40.4633492,-3.6878227
40.4726499,-3.6892726
40.465087,-3.6841564
40.4727564,-3.6864024
40.4722304,-3.6883082
40.4644598,-3.6912289
40.4634311,-3.6883378
40.4636235,-3.6871297
40.4697162,-3.6888801
40.4725581,-3.6892576
40.463841,-3.6921902
40.4559655,-3.6881392
40.4551036,-3.6849954
40.4557473,-3.6841847
40.4590198,-3.6892319
40.4603737,-3.6855484
40.4576796,-3.6860386
40.4538175,-3.6893128
40.461715,-3.6827537
40.4559598,-3.6912404
40.4556049,-3.688378
40.4608923,-3.691386
40.4596237,-3.6839762
40.4623203,-3.6913848
40.4625653,-3.6913114
40.4579914,-3.6860094
40.4607984,-3.6920735
40.4624923,-3.691186
40.4610978,-3.6912074
40.4582422,-3.6879983
40.4581916,-3.6912907
40.4458755,-3.6850241
40.4498363,-3.6888544
40.4470831,-3.6887793
40.4475649,-3.6835661
40.449977,-3.6881812
40.4518786,-3.6856267
40.4504671,-3.6820881
40.4538175,-3.6893128
40.4486423,-3.6878038
40.4528142,-3.6869479
40.4509052,-3.6934284
40.4499709,-3.6876894
40.4522087,-3.6925313
40.4475423,-3.6870038
40.4521548,-3.6828286
40.4546614,-3.6860115
40.449815,-3.6932084
40.4469608,-3.6900268
40.4491572,-3.6848593
40.4479699,-3.6904503
40.4423696,-3.6906382
40.4406598,-3.6940098
40.4423548,-3.6818418
40.4405359,-3.6937545
40.4367184,-3.6923171
40.4371429,-3.6836446
40.4396937,-3.6931367
40.4382956,-3.6939512
40.4376908,-3.687554
40.4382241,-3.6934455
40.4394985,-3.693625
40.4381523,-3.6894781
40.4364358,-3.6889821
40.4374462,-3.6874611
40.4377685,-3.6858454
40.4397338,-3.6885652
40.4379488,-3.6859716
40.4373338,-3.6899652
40.4406054,-3.691462
40.4414496,-3.6914604
40.4295544,-3.6860075
40.4285521,-3.6847676
40.4317822,-3.6926522
40.435383,-3.6834546
40.4336097,-3.6857186
40.4336097,-3.6843186
40.4347855,-3.6906635
40.4342391,-3.6917397
40.4341349,-3.6915779
40.4294154,-3.6887677
40.4341766,-3.682478
40.428063,-3.6886141
40.4318506,-3.691042
40.4290468,-3.6852231
40.4342585,-3.6844873
40.4332391,-3.6932397
40.4332972,-3.685847
40.4298391,-3.6821931
40.4323317,-3.6939558
40.4327598,-3.6941476
40.4241278,-3.6821597
40.4263317,-3.684023
40.4222525,-3.6903553
40.4224303,-3.6862786
40.4244737,-3.6874037
40.4222131,-3.689758
40.422763,-3.6832064
40.4239588,-3.6817385
40.4218254,-3.6899761
40.4249176,-3.6941403
40.4233841,-3.6823607
40.4236102,-3.6859998
40.4243905,-3.6842327
40.4245006,-3.693932
40.4209031,-3.6894859
40.4265808,-3.6837628
40.4201613,-3.6872585
40.425615,-3.684323
40.425293,-3.6939302
40.4240178,-3.6944872
40.4152207,-3.6935631
40.4154668,-3.6902118
40.4127017,-3.6936889
40.409445,-3.6899088
40.4138468,-3.6881911
40.4171846,-3.6900498
40.4154329,-3.6922328
40.4165358,-3.6936876
40.4086954,-3.6875073
40.4175986,-3.6923926
40.4169474,-3.6925111
40.4138808,-3.6908729
40.4145682,-3.6948326
40.4121368,-3.6891189
40.4138468,-3.6911911
40.4174777,-3.6910599
40.4141221,-3.6927633
40.4094507,-3.6909287
40.4187999,-3.6896022
40.416529,-3.6916915
40.4073829,-3.6861528
40.4052717,-3.692324
40.4057672,-3.6831596
40.409445,-3.6899088
40.4073977,-3.6901781
40.4059969,-3.6828756
40.4066733,-3.6819753
40.4060828,-3.6858182
40.4011274,-3.6881662
40.4024696,-3.6908827
40.4071926,-3.6850237
40.406501,-3.6887278
40.4078988,-3.6869759
40.4086954,-3.6875073
40.4007232,-3.6922417
40.4014688,-3.6927797
40.4071177,-3.6906628
40.4074878,-3.6904384
40.4082318,-3.6918653
40.4085665,-3.6854267
40.3935949,-3.6940719
40.3959445,-3.6948735
40.3974477,-3.6924393
40.3935987,-3.6915768
40.3964265,-3.693616
40.3924905,-3.6924159
40.3937464,-3.6940241
40.3945516,-3.689338
40.395943,-3.6889226
40.3941872,-3.6881279
40.3979727,-3.6937133
40.396874,-3.6899753
40.393389,-3.6903327
40.3973466,-3.6927418
40.4006428,-3.6898029
40.3945707,-3.6879133
40.3955907,-3.6947061
40.3939108,-3.6874674
40.3971847,-3.6939791
40.4007848,-3.6896221
40.3874054,-3.6905404
40.3886938,-3.6940097
40.3861978,-3.6871272
40.3883883,-3.6943697
40.3867232,-3.6872711
40.3883883,-3.6942195
40.3851563,-3.6944487
40.3901223,-3.691669
40.390431,-3.6923624
40.3875654,-3.6861824
40.3910601,-3.6903417
40.3859251,-3.6932172
40.3913677,-3.6867893
40.3883167,-3.68945
40.3910947,-3.690563
40.387998,-3.688988
40.3857791,-3.6914302
40.384742,-3.6865248
40.3896301,-3.6927132
40.3907099,-3.6889633
40.4757863,-3.6744431
40.4688595,-3.6770343
40.4755987,-3.6749083
40.4712193,-3.6756896
40.4718931,-3.6743083
40.4727187,-3.6720833
40.4716342,-3.6736876
40.4727455,-3.6723716
40.4684169,-3.6781974
40.4716595,-3.6768049
40.476151,-3.67703
40.4757429,-3.6774229
40.4701913,-3.671997
40.4724193,-3.6750896
40.4760513,-3.6743893
40.4690854,-3.6817517
40.4728811,-3.6769398
40.4709611,-3.6731474
40.4745341,-3.6720301
40.4702556,-3.6719639
40.4644518,-3.6839847
40.4655589,-3.6787438
40.4668931,-3.6757013
40.466278,-3.6758703
40.461715,-3.6827537
40.4635908,-3.6843611
40.4595461,-3.6814706
40.4661546,-3.6795875
40.462384,-3.6805673
40.462384,-3.6805673
40.4648381,-3.6775974
40.4641947,-3.6824799
40.4625865,-3.6776868
40.4636014,-3.6813334
40.4619927,-3.6728882
40.4664725,-3.6804954
40.4635725,-3.6827954
40.4655928,-3.6756306
40.4602262,-3.6781053
40.4639725,-3.6820954
40.4557473,-3.6841847
40.457633,-3.6777511
40.4541185,-3.6795166
40.4506561,-3.6735826
40.4579515,-3.676707
40.4574787,-3.679573
40.453965,-3.6835852
40.4504671,-3.6820881
40.4518164,-3.6813784
40.458104,-3.6776618
40.4572824,-3.6804055
40.4549515,-3.6823441
40.4564128,-3.67691
40.458133,-3.6787511
40.452284,-3.6803476
40.4550637,-3.6776828
40.4497548,-3.6792286
40.4564508,-3.6819593
40.4516917,-3.6785399
40.4521548,-3.6828286
40.4464857,-3.6820302
40.4469411,-3.6819908
40.4475649,-3.6835661
40.4466046,-3.6717554
40.4425432,-3.6731943
40.4423512,-3.6725744
40.4497548,-3.6792286
40.4423548,-3.6818418
40.4415698,-3.6747232
40.4411205,-3.6807445
40.4414413,-3.6753391
40.4463028,-3.6721867
40.4435148,-3.6808952
40.4459716,-3.6740793
40.4437533,-3.6820635
40.4430059,-3.6719756
40.4440122,-3.6793233
40.4437286,-3.6827832
40.4492827,-3.6737161
40.4459083,-3.6840737
40.4350594,-3.6773608
40.437352,-3.6815077
40.4361709,-3.6842406
40.437296,-3.681717
40.435383,-3.6834546
40.4364302,-3.6752362
40.436186,-3.6762041
40.433874,-3.6803784
40.4341766,-3.682478
40.4349416,-3.6771664
40.4344451,-3.6777924
40.4365001,-3.6794745
40.4369899,-3.6734355
40.4323839,-3.6776448
40.4339552,-3.6742565
40.4342105,-3.6806847
40.4317825,-3.6769221
40.4344047,-3.675768
40.4323864,-3.675423
40.4369701,-3.6803235
40.4311012,-3.6807539
40.4241278,-3.6821597
40.4263317,-3.684023
40.4239588,-3.6817385
40.4278055,-3.6741852
40.4247472,-3.6726295
40.4240898,-3.6779659
40.4233841,-3.6823607
40.4283809,-3.6728475
40.427744,-3.6717854
40.4280491,-3.679805
40.425738,-3.6819605
40.4236618,-3.6763223
40.4278829,-3.6806013
40.4237615,-3.6774594
40.4231908,-3.6755533
40.4248946,-3.6753834
40.4311727,-3.6738407
40.4294351,-3.6765531
40.4265808,-3.6837628
40.4218051,-3.6729977
40.4183818,-3.6760239
40.4222042,-3.6738743
40.4164611,-3.6783168
40.4159162,-3.6728975
40.417789,-3.6770386
40.4220919,-3.678147
40.4232151,-3.6772637
40.4159848,-3.6753514
40.4216157,-3.6786261
40.4223527,-3.6823135
40.417803,-3.6751012
40.4210961,-3.6748584
40.4217675,-3.6750848
40.4220705,-3.6772904
40.4224814,-3.6782447
40.4161523,-3.6777228
40.4226949,-3.6794262
40.4165577,-3.6793605
40.4173301,-3.674748
40.4063942,-3.6811686
40.4101864,-3.6721707
40.4070193,-3.6758298
40.4093349,-3.6818881
40.4085571,-3.681073
40.4069679,-3.6761371
40.4059969,-3.6828756
40.4066733,-3.6819753
40.4082627,-3.6739291
40.405748,-3.6807608
40.405664,-3.6797803
40.4053065,-3.6745721
40.4101341,-3.6720141
40.4087219,-3.6718317
40.4066546,-3.6782296
40.4077602,-3.674817
40.4050007,-3.6797875
40.4050392,-3.6785624
40.4068186,-3.6798222
40.4113301,-3.676013
40.399237,-3.6731059
40.4020733,-3.673515
40.4011796,-3.6734256
40.4050007,-3.6797875
40.4050392,-3.6785624
40.4025402,-3.6810642
40.4033724,-3.6778426
40.4031176,-3.6795846
40.4024418,-3.6769208
40.4050456,-3.6793265
40.4031989,-3.6741028
40.3992144,-3.6716495
40.4038588,-3.6783619
40.4044711,-3.6748746
40.4020938,-3.6805425
40.4043296,-3.6775874
40.4022001,-3.6731956
40.4048972,-3.6763514
40.402169,-3.6779009
40.403826,-3.6798907
40.3914842,-3.6777168
40.392715,-3.6787327
40.391115,-3.6798327
40.3924846,-3.6734401
40.3931448,-3.6798072
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3922787,-3.679301
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3912117,-3.6717012
40.3913716,-3.6775483
40.3936347,-3.6724922
40.3935976,-3.6831144
40.3914553,-3.6719174
40.471801,-3.6658052
40.4650944,-3.6622322
40.4682253,-3.6656121
40.4672813,-3.6667947
40.4706472,-3.6672756
40.4688653,-3.6702168
40.4658464,-3.662819
40.4658464,-3.662819
40.4658464,-3.662819
40.4692718,-3.6717677
40.4701913,-3.671997
40.4660008,-3.6640952
40.4646786,-3.6726754
40.4646456,-3.6662454
40.4709611,-3.6731474
40.4677218,-3.6727893
40.4684905,-3.6642341
40.4700225,-3.6643663
40.4680052,-3.6649107
40.4629394,-3.6661338
40.4553008,-3.666561
40.4602341,-3.6627738
40.4592028,-3.6628752
40.4581871,-3.6672064
40.4613267,-3.662597
40.4600058,-3.6625232
40.4596553,-3.6732124
40.4619927,-3.6728882
40.4561475,-3.6679041
40.4558592,-3.6683507
40.4582153,-3.6666198
40.462149,-3.6729832
40.4557822,-3.6663348
40.4625366,-3.6641559
40.4625366,-3.6641559
40.4625366,-3.6641559
40.4611384,-3.673683
40.4627208,-3.6704475
40.4615487,-3.6704171
40.4602728,-3.6734018
40.4506561,-3.6735826
40.4503199,-3.6705686
40.4483963,-3.6638782
40.4468304,-3.6651149
40.4468819,-3.6690712
40.4466046,-3.6717554
40.445934,-3.6708538
40.4501218,-3.6682181
40.4534582,-3.6724864
40.4463678,-3.664487
40.4507462,-3.6621043
40.4515987,-3.6704349
40.4463028,-3.6721867
40.4488228,-3.6708389
40.4481967,-3.6695864
40.4530706,-3.6729035
40.4467222,-3.67084
